ID,Compte,Tag,Email SCID (ref gestionnaire),Device,Trophees actuels,Brawlers,Brawlers Power 11,Hypercharges,Skins notables/rares,Gemmes,Or,Statut,Plateforme,Prix liste,Date liste
BS-001,Zeffut5.0,#QPRCQ9RV2,,HP + Mi9T,2521,25,0,?,a verifier in-game,1647,26157,grind,,,
BS-002,Zeffut2.0,#PYLV98LG9,,,4093,30,1 (Shelly),?,a verifier in-game,,,grind,,,
